Currency Summary,Currency,Total,Month to Date,Year to Date,,,,,,,,,,
Starting Cash,Base Currency Summary,244.951988909,,,,,,,,,,,,
Commissions,Base Currency Summary,-125.376692858,-12.64378768,-67.12793352,,,,,,,,,,
Deposits,Base Currency Summary,12600.016029,0,8000,,,,,,,,,,
Dividends,Base Currency Summary,11.074053,4.814338,7.678688,,,,,,,,,,
Broker Interest Paid and Received,Base Currency Summary,-0.076002,0,0,,,,,,,,,,
Trades (Sales),Base Currency Summary,18614.45346597,2066.74706488,13630.11846016,,,,,,,,,,
Trades (Purchase),Base Currency Summary,-30826.738095678,-3018.903184,-20999.82002291,,,,,,,,,,
Withholding Tax,Base Currency Summary,-1.693629,-0.720568,-1.163754,,,,,,,,,,
Cash FX Translation Gain/Loss,Base Currency Summary,20.56449952,,,,,,,,,,,,
Ending Cash,Base Currency Summary,537.17561692,,,,,,,,,,,,
Ending Settled Cash,Base Currency Summary,568.90277692,,,,,,,,,,,,
Starting Cash,AUD,0.2797,,,,,,,,,,,,
Commissions,AUD,-43.4328,-3.0806,-25.4976,,,,,,,,,,
Deposits,AUD,12600,0,8000,,,,,,,,,,
Trades (Sales),AUD,2632.33022655,0.00335287,2532.10089706,,,,,,,,,,
Trades (Purchase),AUD,-15189.17673845,-1497.89788105,-10506.99714697,,,,,,,,,,
Ending Cash,AUD,0.000388069,,,,,,,,,,,,
Ending Settled Cash,AUD,0.000388069,,,,,,,,,,,,
Starting Cash,USD,163.180131325,,,,,,,,,,,,
Commissions,USD,-52.94348202,-6.21678736,-26.27686457,,,,,,,,,,
Deposits,USD,0.01,0,0,,,,,,,,,,
Dividends,USD,7.13,3.14,4.95,,,,,,,,,,
Broker Interest Paid and Received,USD,-0.05,0,0,,,,,,,,,,
Trades (Sales),USD,10230.22360356,1345.1839786,6954.45353981,,,,,,,,,,
Trades (Purchase),USD,-9992.93920726,-988.1161456,-6578.85562958,,,,,,,,,,
Withholding Tax,USD,-1.09,-0.47,-0.75,,,,,,,,,,
Ending Cash,USD,353.521045641,,,,,,,,,,,,
Ending Settled Cash,USD,374.401045641,,,,,,,,,,,,
